subject_id,k_self,k_other,beta_self,beta_other,k_self_2K1B,k_other_2K1B,beta_2K1B,AIC_onekonebeta,AIC_onektwobetamodel,AIC_twokonebetamodel,AIC_twoktwobetamodel,BIC_onekonebeta,BIC_onektwobetamodel,BIC_twokonebetamodel,BIC_twoktwobetamodel,NLL_onekonebeta,NLL_onektwobetamodel,NLL_twokonebetamodel,NLL_twoktwobetamodel
2431,1.20456663833771e-08,0.250430317670799,0.540201756833296,50.013249389042,0.0131632710776519,0.250027786834117,1.16208922494881,49.9751529650289,65.7870235124982,51.9059866696164,67.7870236404975,53.7175549868447,71.4006265452219,57.51958970234,75.271827684129,22.9875764825144,29.8935117562491,22.9529933348082,29.8935118202487
2690,0.0525017097791428,0.249208094836307,0.911659851673862,50.3177204774885,0.061235908771063,0.24999422723016,1.53361880489696,49.8692627569091,65.3052355569766,49.2985877482212,67.3052355569765,53.6116647787249,70.9188385897002,54.9121907809448,74.7900396006081,22.9346313784546,29.6526177784883,21.6492938741106,29.6526177784882
2803,0.499999955752379,0.262697273666347,1.32402967157781,1.425469738241,0.499999960228247,0.249957577103644,0.475242287308902,46.9311661275162,52.5933524979604,60.1817469780344,54.5933524990945,50.673568149332,58.2069555306841,65.795350010758,62.0781565427261,21.4655830637581,23.2966762489802,27.0908734890172,23.2966762495473
2854,3.13980268168166e-08,0.248783897183758,42.0390778765826,21.7212850412431,1.38540965067006e-08,0.24952146274505,18.8717531752757,26.1807260147529,50.3614355732338,28.1807256688183,52.3614987527906,29.9231280365687,55.9750386059575,33.7943287015419,59.8463027964221,11.0903630073764,22.1807177866169,11.0903628344091,22.1807493763953
2899,0.0564229375982648,0.333124775935992,0.00102154033533375,1.19924260183292,0.0510068544247836,0.249751861338408,0.836883528582689,52.8806888390876,62.8396272556241,54.3996406880659,64.8392849349777,56.6230908609034,68.4532302883478,60.0132437207896,72.3240889786093,24.4403444195438,28.419813627812,24.199820344033,28.4196424674888
2959,7.32951616984576e-06,0.250025550816343,0.154913866200372,50.0410990286589,0.078005419765296,0.249862098483543,0.996871731590939,54.6636648258759,65.3790946005917,54.8994698520832,67.3790949839224,58.4060668476917,70.9926976333154,60.5130728848069,74.863899027554,25.331832412938,29.6895473002959,24.4497349260416,29.6895474919612
2998,0.285142488420668,0.250047482446005,0.417510999872801,50.0191336821708,0.171231427417989,0.250931878149056,1.20212026465548,60.7387516763869,68.752258307211,54.8848985123678,70.7522583072111,64.4811536982027,74.3658613399347,60.4985015450914,78.2370623508426,28.3693758381934,31.3761291536055,24.4424492561839,31.3761291536055
3103,0.0463928073465604,0.249997915676072,1.52214576023981,50.0037250845689,0.0491337445252341,0.249311289512835,2.21592234636722,40.6973982216735,60.0631058551436,40.468395441021,62.0631058551437,44.4398002434893,65.6767088878673,46.0819984737446,69.5479098987753,18.3486991108367,27.0315529275718,17.2341977205105,27.0315529275719
3178,3.26467695388088e-08,0.141952025845218,1.58740157013366,0.20064362934709,6.5297233507041e-09,0.248528201648979,1.5874006539995,44.7570013645716,58.9564217685756,46.7570013645626,60.956421768576,48.4994033863874,64.5700248012993,52.3706043972863,68.4412258122076,20.3785006822858,26.4782108842878,20.3785006822813,26.478210884288
3210,4.04050382158264e-08,0.156641578635673,1.18684667815297,0.196211189295904,6.73634938094314e-09,0.249831528144135,1.79395645789696,41.0462430036143,61.2498167256418,43.0462436436134,63.2498167257152,44.78864502543,66.8634197583654,48.6598466763371,70.7346207693468,18.5231215018071,27.6249083628209,18.5231218218067,27.6249083628576
3228,5.79572716049222e-09,0.272525840167741,2.16997928557036,1.92381839800359,5.77918481900544e-09,0.25096767952907,2.18158239658946,38.7087123905285,56.612617443628,40.7087123905284,58.6126174436113,42.4511144123442,62.2262204763517,46.3223154232521,66.0974214872429,17.3543561952642,25.306308721814,17.3543561952642,25.3063087218057
3472,7.16618869124864e-08,0.192215949797235,29.4232622029284,4.64191460293987,5.82064269982136e-09,0.354060112826626,19.5712942991379,26.1807259797115,48.9752072600132,28.1807130688725,50.9751842342479,29.9231280015273,54.5888102927369,33.7943161015962,58.4599882778794,11.0903629898558,21.4876036300066,11.0903565344363,21.4875921171239
3624,0.137049869296595,0.250039181540917,1.72334536653102,50.0329574540642,0.139359027299038,0.250046903471766,1.57113623746422,40.0108195824007,55.6848445294301,45.5487786227643,57.6848445294302,43.7532216042164,61.2984475621538,51.162381655488,65.1696485730617,18.0054097912003,24.8424222647151,19.7743893113822,24.8424222647151
3771,6.79599357548018e-09,0.151619372897327,1.51451615841828,0.299101497941994,6.75743588496603e-09,0.232901357427355,1.53284658114747,45.675537244551,58.5717948624636,47.6755380045548,60.5717916620884,49.4179392663668,64.1853978951873,53.2891410372785,68.05659570572,20.8377686222755,26.2858974312318,20.8377690022774,26.2858958310442
