subject_id,BIC_onekonebeta,BIC_onektwobetamodel,BIC_twokonebetamodel,BIC_twoktwobetamodel
8251,42.4761467593171,65.9563159624286,46.3473484102996,69.8275169777417
8604,27.150526473626,50.429848342511,31.0217307637716,54.3014520905181
8704,46.1195342746071,66.4850302833552,48.2063246579201,70.3562312942631
8925,67.9473776248517,78.1573439061508,70.443566014452,82.0286576269268
8949,62.2876542259802,72.4822146687737,65.3861119085424,76.3534156796815
8987,28.5368336370258,54.5887442273559,32.4080217032248,58.4599324062522
9045,40.9113945434315,63.4546297377431,42.4491011072448,67.325830748651
9203,29.9231280365687,55.9750386059575,33.7943287015419,59.8463027964221
9350,29.9231280365687,55.9750386059575,33.7943287015419,59.8463027964221
9477,22.9916641668454,46.2710528157479,26.8628571914719,50.1421632337413
9585,29.9231280365687,55.9750386059575,33.7943287015419,59.8463027964221
9593,48.4160986289364,53.2024613293652,52.2872996398399,57.0736610537945
9620,42.2599049646682,65.5716890559191,46.1311858144403,69.4428900669177
9779,59.8652870626852,72.7748992427425,63.1597982391866,76.6461002536511
